Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray\murraja01,44:14,8,19,.421,2,9,.222,7,8,.875,0,6,6,4,2,2,5,1,25,+16
Nikola Jokić\jokicni01,38:39,9,20,.450,1,4,.250,11,12,.917,1,5,6,9,4,0,2,4,30,-6
Paul Millsap\millspa01,28:06,2,6,.333,0,1,.000,2,3,.667,3,5,8,1,0,0,3,2,6,+9
Gary Harris\harriga01,24:42,1,6,.167,1,3,.333,0,0,,0,2,2,1,0,0,2,0,3,-14
Jerami Grant\grantje01,24:36,3,4,.750,1,1,1.000,0,0,,0,0,0,1,3,0,3,4,7,-1
Torrey Craig\craigto01,23:19,1,2,.500,0,1,.000,1,1,1.000,0,2,2,1,1,1,0,3,3,-3
Michael Porter\portemi01,19:57,6,9,.667,2,4,.500,1,2,.500,2,2,4,0,0,0,2,5,15,-6
PJ Dozier\doziepj01,14:06,1,2,.500,0,0,,1,5,.200,0,1,1,1,1,1,0,1,3,+1
Monte Morris\morrimo01,12:58,3,4,.750,1,1,1.000,2,2,1.000,0,1,1,0,1,0,1,0,9,-7
Mason Plumlee\plumlma01,9:23,1,2,.500,0,0,,0,0,,1,0,1,4,0,0,1,2,2,+1
Keita Bates-Diop\bateske01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bol Bol\bolbo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Troy Daniels\danietr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
