Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant\grantje01,37:23,3,11,.273,1,6,.167,2,2,1.000,0,4,4,3,0,0,1,2,9,-25
Jamal Murray\murraja01,28:58,7,12,.583,3,5,.600,4,4,1.000,0,1,1,5,0,0,3,4,21,-21
Nikola Jokić\jokicni01,25:25,8,14,.571,0,0,,5,7,.714,4,2,6,2,0,1,4,5,21,-19
Gary Harris\harriga01,25:23,2,7,.286,1,4,.250,0,0,,0,2,2,0,0,0,2,3,5,-14
Paul Millsap\millspa01,20:47,2,5,.400,1,1,1.000,0,0,,0,6,6,1,1,0,1,3,5,-13
Michael Porter\portemi01,28:59,3,9,.333,1,6,.167,7,8,.875,1,9,10,4,1,0,2,2,14,+5
Monte Morris\morrimo01,20:57,3,6,.500,0,0,,2,4,.500,0,1,1,3,1,1,1,2,8,-12
Mason Plumlee\plumlma01,20:33,4,6,.667,0,0,,1,1,1.000,3,1,4,3,0,0,0,2,9,+6
PJ Dozier\doziepj01,12:00,3,5,.600,0,0,,0,0,,1,2,3,2,0,0,2,2,6,+12
Torrey Craig\craigto01,10:20,2,4,.500,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,1,6,-1
Troy Daniels\danietr01,5:07,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,+13
Bol Bol\bolbo01,4:08,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+9
Keita Bates-Diop\bateske01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
